date,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2025-05-26,0.012339063679736912,0.00833913806802636,0.009890636913007119,0.010062077130537587,0.016063613236422226,0.009204428936564115,0.009826558266307472,0.016807538562221412,0.016470735382947615,0.01179740671517689,0.013854554785918644,0.02591829348068457,0.015169229630215575,0.012228398791115919,0.01705520323777998
2025-05-27,0.011535533247393228,0.008286520140926568,0.00960533448688895,0.009515571998326587,0.01620851736536029,0.010246218615046954,0.009445901938314415,0.01522034869471387,0.016113487920565592,0.011026008005250743,0.01181763925793558,0.026016471979396983,0.014811768464757456,0.012429176920001984,0.017314617826848715
2025-05-28,0.011635269108964435,0.008215747978679728,0.009952716201292181,0.009548723723069611,0.016238108797353042,0.01024471265565314,0.009225734671538555,0.015407663376243283,0.01538565801302282,0.010156458101674117,0.011111646395440392,0.025918930253162727,0.014939602824650849,0.012454595097208126,0.01747028810405026
2025-05-29,0.011558073368321375,0.008083182596629488,0.009747862502522358,0.009477265741199508,0.016270915962703563,0.010357491256068491,0.009220455646342534,0.013328433635809121,0.015358099400124654,0.010180886539220944,0.011291213496761808,0.024460129258494456,0.014484712116153856,0.012407714339563424,0.01746497531423186
2025-05-30,0.011186878285616831,0.00817748655234241,0.00969132215194186,0.009771527919417228,0.016343986465105036,0.009903132965105099,0.008947448877144997,0.013218826046464034,0.015670908520818243,0.010154509636708216,0.011629347540492685,0.024497186514249796,0.015093042827814266,0.012236092798433369,0.017463385291401984
2025-06-02,0.011049511679558147,0.0081726549156289,0.009667275065307578,0.009657997289688431,0.01633926805995718,0.009151841413781454,0.008652668734647788,0.013353916470038075,0.01566664788807548,0.010155006138423097,0.011509618046569265,0.02459000430715888,0.015133942270863362,0.012232495418992234,0.017447509872426145
2025-06-03,0.010735075630724594,0.00833040381418418,0.008831037509051514,0.010073955497349815,0.0165495654457348,0.009159346727765924,0.00902982971082554,0.0134763409086256,0.01547776951443053,0.010396230824578398,0.011887331438380442,0.02438272170114282,0.01529178596010802,0.01251175253884219,0.01720845688932211
2025-06-04,0.010634466197051922,0.008560760146578677,0.008848360881384383,0.009999219344074288,0.016546527023670057,0.009125711523668723,0.008343625570512835,0.012474901642702122,0.014065312645186496,0.010147673938887141,0.0113557401826065,0.020578618794194016,0.014328823890245484,0.012378578924212149,0.015491214934619213
2025-06-05,0.010681427652576108,0.007935867284709885,0.008920822347692542,0.01066084958590563,0.016559020347154348,0.009071464138525923,0.008319019048423072,0.012177757573951415,0.013467360594114401,0.01034072142556039,0.011732978197982843,0.019741563405919975,0.01378970319635562,0.012570357485102298,0.01542406108277163
2025-06-06,0.010790938432309393,0.00830041621516025,0.009062056944322851,0.009714966680538282,0.016575143153390617,0.00904775195365578,0.00840302067743704,0.013419955006311213,0.012252134480403697,0.010185804208411899,0.01172570867631525,0.013906873093362691,0.013749625444341886,0.012221449069815057,0.014610018546445752
2025-06-09,0.009433747847602795,0.007398955466558339,0.008780716181317096,0.009007710988055199,0.009648289554992947,0.00837448482345025,0.008864589292977135,0.013191406978148468,0.01116642454582441,0.008578496360028498,0.011867798745245345,0.013793023254889483,0.01047106832904644,0.009311658796807556,0.009047291522461642
